"","process","scenario","year","GWh_sum"
"425","풍력","OSP_CN_REN_40","2017",185.9827939
"426","풍력","OSP_CN_REN_40","2020",225.38809692
"427","풍력","OSP_CN_REN_40","2025",1124.0917786
"428","풍력","OSP_CN_REN_40","2030",1388.0831686
"429","풍력","OSP_CN_REN_40","2035",4915.8909596
"430","풍력","OSP_CN_REN_40","2040",4679.048742
"431","풍력","OSP_CN_REN_40","2045",4679.048742
"432","풍력","OSP_CN_REN_40","2050",4629.134626
"433","해상풍력","OSP_CN_REN_40","2017",0
"434","해상풍력","OSP_CN_REN_40","2020",79.7504196
"435","해상풍력","OSP_CN_REN_40","2025",525.8429942
"436","해상풍력","OSP_CN_REN_40","2030",2066.579861
"437","해상풍력","OSP_CN_REN_40","2035",2066.579861
"438","해상풍력","OSP_CN_REN_40","2040",2066.579861
"439","해상풍력","OSP_CN_REN_40","2045",2066.579861
"440","해상풍력","OSP_CN_REN_40","2050",2045.428317
"441","ESS","OSP_CN_REN_50","2017",0
"442","ESS","OSP_CN_REN_50","2020",0
"443","ESS","OSP_CN_REN_50","2025",0
"444","ESS","OSP_CN_REN_50","2030",0
"445","ESS","OSP_CN_REN_50","2035",107.8371155
"446","ESS","OSP_CN_REN_50","2040",107.8371155
"447","ESS","OSP_CN_REN_50","2045",464.7846001
"448","ESS","OSP_CN_REN_50","2050",2203.230177
"449","기타재생","OSP_CN_REN_50","2017",1486.104225092
"450","기타재생","OSP_CN_REN_50","2020",1879.592143026
"451","기타재생","OSP_CN_REN_50","2025",1987.372730226
"452","기타재생","OSP_CN_REN_50","2030",2061.236349426
"453","기타재생","OSP_CN_REN_50","2035",2229.012284466
"454","기타재생","OSP_CN_REN_50","2040",2229.012284466
"455","기타재생","OSP_CN_REN_50","2045",2229.012284466
"456","기타재생","OSP_CN_REN_50","2050",2229.012284466
"457","석유","OSP_CN_REN_50","2017",277.076774436
"458","석유","OSP_CN_REN_50","2020",164.76016644
"459","석유","OSP_CN_REN_50","2025",83.28985949
"460","석유","OSP_CN_REN_50","2030",89.413578205
"461","석유","OSP_CN_REN_50","2035",0
"462","석유","OSP_CN_REN_50","2040",0
"463","석유","OSP_CN_REN_50","2045",0
"464","석유","OSP_CN_REN_50","2050",0
"465","석탄","OSP_CN_REN_50","2017",20359.7906381
"466","석탄","OSP_CN_REN_50","2020",20373.1756601
"467","석탄","OSP_CN_REN_50","2025",19045.6436261
"468","석탄","OSP_CN_REN_50","2030",14212.8003861
"469","석탄","OSP_CN_REN_50","2035",11684.102056
"470","석탄","OSP_CN_REN_50","2040",4389.739247
"471","석탄","OSP_CN_REN_50","2045",0
"472","석탄","OSP_CN_REN_50","2050",0
"473","신에너지","OSP_CN_REN_50","2017",233.4491227
"474","신에너지","OSP_CN_REN_50","2020",737.9979574
"475","신에너지","OSP_CN_REN_50","2025",1279.4273511
"476","신에너지","OSP_CN_REN_50","2030",2224.8994883
"477","신에너지","OSP_CN_REN_50","2035",2441.4284878
"478","신에너지","OSP_CN_REN_50","2040",3577.6176344
"479","신에너지","OSP_CN_REN_50","2045",3376.6225918
"480","신에너지","OSP_CN_REN_50","2050",4050.9299997
"481","양수","OSP_CN_REN_50","2017",0
"482","양수","OSP_CN_REN_50","2020",360
"483","양수","OSP_CN_REN_50","2025",360
"484","양수","OSP_CN_REN_50","2030",398.29787234
"485","양수","OSP_CN_REN_50","2035",497.8723404
"486","양수","OSP_CN_REN_50","2040",497.8723404
"487","양수","OSP_CN_REN_50","2045",497.8723404
"488","양수","OSP_CN_REN_50","2050",497.8723404
"489","원자력","OSP_CN_REN_50","2017",12722.404137
"490","원자력","OSP_CN_REN_50","2020",13755.9693806
"491","원자력","OSP_CN_REN_50","2025",14998.460975
"492","원자력","OSP_CN_REN_50","2030",12069.918346
"493","원자력","OSP_CN_REN_50","2035",10294.930354
"494","원자력","OSP_CN_REN_50","2040",9111.605026
"495","원자력","OSP_CN_REN_50","2045",6744.95437
"496","원자력","OSP_CN_REN_50","2050",6744.95437
"497","천연가스CC","OSP_CN_REN_50","2017",4600.7170367
"498","천연가스CC","OSP_CN_REN_50","2020",3536.83407642
"499","천연가스CC","OSP_CN_REN_50","2025",2172.6433887
"500","천연가스CC","OSP_CN_REN_50","2030",8035.8724837
"501","천연가스CC","OSP_CN_REN_50","2035",7287.00664603
"502","천연가스CC","OSP_CN_REN_50","2040",14774.9199029
"503","천연가스CC","OSP_CN_REN_50","2045",17932.806326
"504","천연가스CC","OSP_CN_REN_50","2050",9676.158745
"505","태양광","OSP_CN_REN_50","2017",593.2285051
"506","태양광","OSP_CN_REN_50","2020",1678.8336021
