year,sido,gungu,type, 1 , 2 , 3 , 4 , 5 , 6 , 7 
2021,서울특별시,노원구,합 계," 142,668,314 "," 136,158,274 "," 114,774,001 "," 112,513,755 "," 105,494,847 "," 114,794,480 "," 136,330,891 "
2021,서울특별시,서초구,주택용," 65,046,089 "," 61,504,398 "," 54,384,942 "," 54,826,898 "," 52,701,422 "," 56,942,080 "," 73,374,088 "
2021,서울특별시,서초구,일반용," 190,226,637 "," 179,058,859 "," 150,688,751 "," 141,150,197 "," 134,454,972 "," 152,437,590 "," 179,335,152 "
2021,서울특별시,서초구,교육용," 6,059,772 "," 5,505,826 "," 4,528,378 "," 3,726,193 "," 2,910,123 "," 3,291,380 "," 3,959,710 "
2021,서울특별시,서초구,산업용," 38,751,733 "," 36,804,238 "," 32,016,507 "," 32,924,782 "," 32,208,189 "," 34,276,343 "," 38,376,079 "
2021,서울특별시,서초구,농사용," 765,058 "," 733,133 "," 663,104 "," 534,728 "," 420,397 "," 369,594 "," 380,789 "
2021,서울특별시,서초구,가로등," 2,169,774 "," 2,035,360 "," 1,832,474 "," 1,843,868 "," 1,692,756 "," 1,612,503 "," 1,576,771 "
2021,서울특별시,서초구,심 야," 845,549 "," 813,989 "," 663,425 "," 734,490 "," 1,196,636 "," 2,938,314 "," 5,077,815 "
2021,서울특별시,서초구,합 계," 303,864,612 "," 286,455,803 "," 244,777,581 "," 235,741,156 "," 225,584,495 "," 251,867,804 "," 302,080,404 "
2021,서울특별시,양천구,주택용," 60,202,601 "," 58,319,080 "," 50,211,492 "," 51,666,332 "," 49,064,733 "," 51,361,617 "," 62,325,762 "
2021,서울특별시,양천구,일반용," 86,631,854 "," 85,109,616 "," 78,742,504 "," 76,704,080 "," 75,884,888 "," 79,311,623 "," 88,665,366 "
2021,서울특별시,양천구,교육용," 3,929,892 "," 3,991,286 "," 2,963,802 "," 2,754,881 "," 1,910,531 "," 1,966,636 "," 2,518,466 "
2021,서울특별시,양천구,산업용," 6,403,846 "," 5,094,270 "," 3,786,121 "," 4,005,899 "," 2,975,256 "," 3,344,984 "," 4,138,113 "
2021,서울특별시,양천구,농사용," 13,046 "," 13,176 "," 12,214 "," 12,567 "," 10,944 "," 11,555 "," 12,888 "
2021,서울특별시,양천구,가로등," 1,156,828 "," 1,096,869 "," 978,857 "," 953,008 "," 865,363 "," 818,585 "," 783,013 "
2021,서울특별시,양천구,심 야," 379,670 "," 365,100 "," 292,826 "," 335,545 "," 442,363 "," 878,172 "," 2,095,233 "
2021,서울특별시,양천구,합 계," 158,717,737 "," 153,989,397 "," 136,987,816 "," 136,432,312 "," 131,154,078 "," 137,693,172 "," 160,538,841 "
2021,서울특별시,광진구,주택용," 45,446,435 "," 43,197,202 "," 36,425,219 "," 37,406,836 "," 35,470,199 "," 38,236,288 "," 47,891,047 "
2021,서울특별시,광진구,일반용," 56,053,634 "," 52,874,617 "," 43,642,634 "," 42,052,292 "," 41,172,111 "," 47,467,087 "," 56,722,239 "
2021,서울특별시,광진구,교육용," 8,528,651 "," 7,160,122 "," 6,298,447 "," 5,253,874 "," 5,143,092 "," 6,302,750 "," 7,401,784 "
